feature,coefficient,absolute_coefficient
cycle,-11.442893287768095,11.442893287768095
sensor_12_roll_mean_15,-6.472286469664033,6.472286469664033
sensor_7_roll_mean_15,-5.147114390747005,5.147114390747005
sensor_15_roll_mean_5,-4.012553828982175,4.012553828982175
sensor_4_roll_mean_5,-3.729411644112985,3.729411644112985
sensor_17_roll_mean_5,-3.5617159360074773,3.5617159360074773
sensor_11_roll_mean_15,3.5413176987409125,3.5413176987409125
sensor_11,-3.3929117263162953,3.3929117263162953
sensor_4,-3.263210457850273,3.263210457850273
sensor_21_roll_mean_5,3.097839892643618,3.097839892643618
sensor_11_roll_mean_5,-3.013677039054685,3.013677039054685
sensor_15,-2.895623479974396,2.895623479974396
sensor_20_roll_mean_5,2.717585613781739,2.717585613781739
sensor_12,2.4497712285156945,2.4497712285156945
sensor_21,2.376870011924189,2.376870011924189
sensor_7,2.2672314879762543,2.2672314879762543
sensor_20,2.2492019724810253,2.2492019724810253
sensor_17,-2.1807004452004413,2.1807004452004413
sensor_7_roll_mean_5,1.9027348282620589,1.9027348282620589
sensor_11_slope_15,-1.8530994921494388,1.8530994921494388
sensor_17_roll_mean_15,-1.7610224271836046,1.7610224271836046
sensor_12_roll_mean_5,1.6000074771880182,1.6000074771880182
sensor_20_roll_mean_15,-1.5513996532460417,1.5513996532460417
sensor_7_slope_15,1.4439190371431745,1.4439190371431745
sensor_4_slope_15,-1.3602608463044537,1.3602608463044537
sensor_4_roll_mean_15,1.2453282036520332,1.2453282036520332
sensor_12_slope_15,1.2269587524688959,1.2269587524688959
sensor_12_roll_std_15,-1.1532937827487295,1.1532937827487295
sensor_21_roll_mean_15,-1.062235286675985,1.062235286675985
sensor_20_slope_15,1.0243502955744497,1.0243502955744497
sensor_11_roll_std_15,-1.0039929046211795,1.0039929046211795
sensor_7_roll_std_15,-0.952715136555509,0.952715136555509
sensor_15_diff_1,0.8831284868726965,0.8831284868726965
sensor_21_slope_15,0.8509084993693853,0.8509084993693853
sensor_4_diff_1,0.809747910891992,0.809747910891992
sensor_15_slope_15,-0.7955071468049042,0.7955071468049042
sensor_21_diff_1,-0.7392346183429568,0.7392346183429568
sensor_11_diff_1,0.7289935246426894,0.7289935246426894
sensor_17_diff_1,0.7225881081895416,0.7225881081895416
sensor_15_roll_mean_15,-0.7048755829490229,0.7048755829490229
sensor_20_diff_1,-0.693224379219567,0.693224379219567
sensor_11_roll_std_5,0.6737255082102686,0.6737255082102686
sensor_7_diff_1,-0.6534030454290238,0.6534030454290238
sensor_12_roll_std_5,0.5962044205892856,0.5962044205892856
sensor_12_diff_1,-0.571204693783331,0.571204693783331
sensor_17_slope_15,-0.48903186817827865,0.48903186817827865
sensor_21_slope_5,-0.4233165142855086,0.4233165142855086
sensor_15_roll_std_5,0.41108467433730855,0.41108467433730855
sensor_4_slope_5,0.40170899336661114,0.40170899336661114
sensor_20_slope_5,-0.3951585434550681,0.3951585434550681
sensor_20_roll_std_15,0.3881809518087409,0.3881809518087409
sensor_15_slope_5,0.3805357115248933,0.3805357115248933
sensor_11_slope_5,0.32884737529187974,0.32884737529187974
sensor_4_roll_std_15,-0.3127170161087306,0.3127170161087306
sensor_17_slope_5,0.3084866540798722,0.3084866540798722
sensor_4_roll_std_5,0.3028873143783702,0.3028873143783702
sensor_7_roll_std_5,0.3024624599860283,0.3024624599860283
sensor_7_slope_5,-0.2861434801172769,0.2861434801172769
sensor_20_roll_std_5,0.27914692974435634,0.27914692974435634
sensor_15_roll_std_15,-0.2572038030346987,0.2572038030346987
sensor_12_slope_5,-0.24448476087889137,0.24448476087889137
sensor_21_roll_std_5,0.2158796878819079,0.2158796878819079
setting_2,0.1660540657457902,0.1660540657457902
sensor_17_roll_std_5,-0.1420037080843505,0.1420037080843505
setting_1,-0.10288912767189405,0.10288912767189405
sensor_21_roll_std_15,0.04652212902223378,0.04652212902223378
sensor_17_roll_std_15,-0.03262187515623388,0.03262187515623388
setting_3,0.0,0.0
